ID,Is_Lead
VBENBARO,0.0403383885550407
CCMEWNKY,0.8636934387721412
VK3KGA9M,0.06176433542831004
TT8RPZVC,0.022568347498607238
SHQZEYTZ,0.02322668038063034
MZZAQMPT,0.08127375329114886
Y88TW36I,0.08577580537072263
3UGOAQNU,0.05417305093494793
VVUKMUJT,0.989856869099403
9R363ZXS,0.1530170698113787
BLISM6JE,0.05106598747734904
CH8S7JK7,0.25106997868694514
EAHDPXEJ,0.8371765397911259
BNUK9PRF,0.33026351122764763
GP2PG6FJ,0.052579578389108705
WNQCSN8A,0.043272130488665454
32DN4YVZ,0.4464395816647003
GXAMDANM,0.05634754483667759
MXETLUP4,0.07616866668308328
MPXK6TVE,0.8394836590924589
LBSIME2K,0.1644688285832274
D6ORJTM6,0.04992453047718728
HGDIBAKA,0.8155040040030259
UUZYL9DZ,0.48365153446912146
AUGE3VWK,0.04920104135393617
MX7GOX6Q,0.095400141467742
TQN6K35W,0.06258954671192621
QQDRMQQN,0.47783345182961606
UP6GC6F4,0.04721106508156073
BMHBUVHB,0.6004203748664685
KGLDW86A,0.14314838338772362
FQEOMOP4,0.12404245918467387
DYWM5MEU,0.16529517794787024
DXHGXV8F,0.05306326046142863
AVFBFQKC,0.17009652332784914
DBIDKYMV,0.12586855985607542
KYZHMEBY,0.26253162459357454
SSFEBUGF,0.05276485268742589
MGJTAG8X,0.4745432726357115
MP6BERDO,0.16005790899045794
GXZ8ED68,0.05076688689179072
ICTFGWQR,0.6359070643410203
EAYHTRKH,0.02541277004323512
6FN97QLQ,0.08231011259333118
3H5MZDDW,0.3547150002233262
2DXZZWSN,0.03739299313503306
MM4QIRE5,0.07802419097916727
HJWVYXUA,0.14818909480396464
RBRSJUP3,0.829131950814355
YFRQKGXW,0.42460493205457156
N3SADEBV,0.049702192316695384
G2A2YYXY,0.040841203321860364
XMGA3WT3,0.05927975634724214
KVZQPSGI,0.19150677271826902
UAKARBBG,0.04464535938813158
WYKKL85Z,0.21053217788623027
GHNYYGRR,0.10509509622151159
UBAJANWT,0.05460150259221101
LSARSF7U,0.017194402385738404
4CNSJVVR,0.21727745053050085
JRHJSWYO,0.2904371734537172
FHZ8SVVI,0.07128918986185977
JUIRE47M,0.8649769076809793
GDIVN2GL,0.06165670273982763
WMF3DYE3,0.8049282886798099
MAQEHEWK,0.15129442144645305
2W8DLKFU,0.05697264712642332
AKGRML6H,0.11654611065000357
B7WUUGCY,0.044819223045868994
TLJOYATM,0.43950782211781886
UH6ZDM3W,0.8671811742624141
7IP5SSRR,0.7743085453981257
PV85PMEB,0.5007485718698992
FGDOY4NI,0.10238321249434708
7YYIXJQE,0.05814113123747131
BHW42XPW,0.05280620337927984
3PKEEAT4,0.3054195644620329
ACFPZ3LM,0.05213961390011612
6GORGNYN,0.8249628415777652
AEPQTMJK,0.2578341453573595
S6FNZFKK,0.05450540616662147
JTYNEKRQ,0.6687567538940136
GPXDPHHC,0.06008023747486042
O8TMKNNB,0.053360554493583026
XSQVHKYG,0.05294627629833246
MJ3CZRAE,0.02174035674107981
3NSQEYBJ,0.44241282396909287
SXVBASGH,0.05042912082202081
5ZIGZYSS,0.05094264493995565
FQSHBCUT,0.33282523514569434
MU45XUBP,0.05162145574010296
BVULDPBI,0.05894227620812772
82GRNPFG,0.8296097320066614
KKBNELBF,0.04458294117372545
HXQGBDGY,0.05347632812772531
28HDZICG,0.543744735104345
GHBPKPJC,0.0474351287803496
FDWZFSSC,0.8428064778361364
FWTIWZF3,0.05477182909036885
JYMHVPMY,0.03928347056339979
AHUDO2T6,0.8359882498992517
ACDHABS3,0.262234383687432
5NTYJJDV,0.0752471918727888
2M4VPY4V,0.09423154855061402
KAHP9XLF,0.07521003938239725
YRLEWZFQ,0.09612360341682111
JZWVLXHJ,0.17363486452081567
JZZSXUKT,0.2807263441328308
93RURE2J,0.869016328149376
4RNB6FDV,0.26394556227171584
27E7HMMG,0.08466312378249703
2QEFQQWN,0.05380145000469272
DDTCD2XI,0.09745460057036534
VGVEYSEG,0.8266420726403372
WCXVE7RK,0.05061623757541989
RTN4R3UE,0.04436090811206509
K2PVS4RB,0.048347060360228115
Q36J686Z,0.10011760037084834
NWKHMEOF,0.13401033401219778
PVJYQQGT,0.2880402145391353
GPUMRNWC,0.053666703758306164
LXHCDSVH,0.16101656209554896
BNIUPSVK,0.07919699607985711
FW3QI3WW,0.0812788247474439
IEEUGXMY,0.8632470186080429
FVVXDLBO,0.06017126943228372
UC2JJB6Y,0.08184301329343323
3WPAHP52,0.4713243984204009
HDTCJJOE,0.5195325414627765
UCSB9GKK,0.0652915922402039
HANBFYTH,0.113960964572514
FLUU2HNV,0.05317106305500953
64PIYWDJ,0.2030819960339572
9AHNH8ZX,0.8645843847584249
KLHUI2SE,0.06877818242048855
YRHYUJFW,0.836811438075039
G5RWWH7F,0.1616771323091172
SCBT9BAX,0.01964659277526571
UGZGLVNB,0.2527847710082166
2RRNUFBV,0.8531566368231532
B6O59TEY,0.45251286809928803
CYHRRYH6,0.04952839917726283
GGYZVHWU,0.07366592564754097
K6AM97RN,0.0711919999305149
ATM5JQYM,0.06408786356043032
7GYZSGWA,0.05093379049897714
DFWUDQCR,0.1551149629884327
E2Z98CR3,0.8409185493179127
GD9KTSLY,0.05369036340892366
2AMRA4OD,0.09834275491998999
CFHZ3ZE6,0.4566318967027968
BOMLVM5K,0.05415854693679706
OBBEGBSY,0.45285786524415206
FJEHOK8W,0.040697149310889975
3GMAEVPJ,0.10992978907089526
WAVDLUTH,0.060127386406386915
6EN8GZX6,0.10325444753591058
VXGA3GKB,0.17485043623811886
U4MZ3U8C,0.4847807859204224
GU4RDP8S,0.8477796328044365
N3TPNHCD,0.0959860611832819
JRRHWQC8,0.6098045762921369
NZ5GBHZK,0.042544413533999605
LCUC2LAJ,0.8310702299708485
DJDSU9D2,0.9768522680411262
647K6DBR,0.058942097901024434
7NFXVESK,0.07312363605073709
EWUWF25N,0.05884345757267991
7QKYPLA8,0.05488113776138028
XQVXWBNO,0.05737820373984846
CNWH4MVA,0.056290666688110204
AFJUJFQD,0.08830479354380022
QKMFDX9H,0.18273485995450306
YYMB5QBY,0.07507272741437224
IRY3SEX7,0.2315671344130615
CUAUZJH8,0.19629894868743009
JYFUYQF5,0.2988749418716796
I4NYEDFE,0.4978314398964499
M3RSPRGQ,0.13206488766153132
JIL3KWQN,0.12108927453842858
X4B5ZBWU,0.13098266118752944
AHYTHHSE,0.05306058613381091
E7EHQEQK,0.3697375573021912
FAMHAVN3,0.8387035040225014
CCGKCTR6,0.06439653386524778
6DTSELRV,0.05810335237163087
LU8X3G6O,0.25832700904781986
NPFDAUJY,0.05415771438905509
DR9PXCFU,0.023797578423880545
